#--------------------------------------------------------------
   488   -0.869    0.519  230.464 
   489   -0.782    0.529  218.871 
   490   -0.602    0.532  174.733 
   491    0.012    0.532  192.019 
   492   -0.218    0.529  193.530 
   493   -1.584    0.546  140.108 
   494   -1.130    0.537  191.827 
   495   -0.784    0.539  177.414 
   496   -0.723    0.536  168.148 
   497    2.502    0.542  216.043 
   498    2.299    0.539  245.004 
   499    0.177    0.532  206.285 
   500    0.743    0.544  185.964 
   501    1.420    0.542  173.123 
   502    0.042    0.537  182.130 
   503   -4.920    0.536  219.692 
   504   -0.814    0.538  200.059 
   505   -0.051    0.542  224.233 
   506   -2.605    0.559  183.481 
   507   -1.191    0.535  194.393 
   508   -2.428    0.534  246.518 
   509   -1.187    0.538  233.471 
   510   -0.740    0.548  219.600 
   511    0.117    0.537  216.486 
   512    0.944    0.522  216.750 
   513   -0.236    0.514  255.341 
   514    2.670    0.522  213.761 
   515    2.313    0.521  232.909 
   516    3.219    0.525  273.157 
   517    2.721    0.526  184.149 
   518    1.506    0.531  222.070 
   519    1.703    0.532  256.449 
   520    1.242    0.548  220.214 
   521    0.443    0.540  213.158 
   522    0.087    0.528  244.046 
   523    0.135    0.534  255.805 
   524    0.091    0.540  216.655 
   525    0.277    0.536  219.737 
   526    0.917    0.525  231.287 
   527    0.602    0.533  229.995 
   528    0.514    0.527  218.037 
   529    1.326    0.541  230.630 
   530    1.493    0.536  242.376 
   531    1.910    0.536  207.963 
   532    2.292    0.542  184.699 
   533    1.090    0.539  213.019 
   534    0.481    0.541  213.942 
   535    0.180    0.541  204.112 
   536   -0.029    0.526  209.243 
   537   -0.178    0.531  247.247 
   538   -0.502    0.545  205.343 
   539   -1.066    0.530  243.049 
   540   -2.023    0.537  218.690 
   541   -1.359    0.540  258.927 
   542   -1.196    0.538  230.336 
   543   -0.263    0.528  265.368 
   544   -0.541    0.553  235.158 
   545    0.157    0.547  225.615 
   546    0.176    0.546  251.179 
   547    0.637    0.563  192.824 
   548    0.722    0.547  219.654 
   549   -0.032    0.527  242.732 
   550   -0.240    0.548  249.207 
   551   -0.099    0.543  291.147 
   552   -0.249    0.555  215.646 
   553   -0.911    0.550  211.942 
   554   -0.617    0.542  196.963 
   555    0.134    0.543  210.610 
   556   -0.216    0.564  181.189 
   557    0.142    0.557  211.757 
   558   -0.287    0.554  207.374 
   559   -0.298    0.548  204.587 
   560    0.081    0.553  223.379 
   561    0.719    0.557  236.817 
   562    0.263    0.559  215.485 
   563    0.650    0.545  218.102 
   564   -0.202    0.548  243.931 
   565    0.920    0.561  217.582 
   566   -0.760    0.555  198.585 
   567   -0.122    0.572  197.342 
   568   -0.445    0.549  204.166 
   569   -0.711    0.537  265.239 
   570   -1.207    0.549  208.234 
   571   -1.479    0.550  193.574 
   572   -1.213    0.539  227.609 
